post_id,type,url,message,timestamp,comments_count,reactions_count,reshare_count,reactions,author,image,video,album_preview,video_files,video_thumbnail,external_url,attached_event,attached_post,attached_post_url,text_format_metadata,Post ID
3742631792702285,post,https://www.facebook.com/groups/3256246341340835/posts/3742631792702285/,"لكل المعلمين والمعلمات اتعلموا المُعلم الرقمي 
بأستخدام الذكاء الاصطناعي سيحقق عائد مادي رهيب  
المهتم رد""بنعم"" ليتم اضافتك",1751752651,136,47,0,"{'angry': 0, 'care': 0, 'haha': 0, 'like': 46, 'love': 1, 'sad': 0, 'wow': 0}","{'id': '61575665017200', 'name': 'الله محبه', 'url': 'https://www.facebook.com/people/%D8%A7%D9%84%D9%84%D9%87-%D9%85%D8%AD%D8%A8%D9%87/61575665017200/', 'profile_picture_url': 'https://scontent.fvcp9-1.fna.fbcdn.net/v/t39.30808-1/500116845_122113890368855500_4587499136724759427_n.jpg?stp=cp0_dst-jpg_p48x48_tt6&_nc_cat=102&ccb=1-7&_nc_sid=1d2534&_nc_ohc=Npd8vI-DxdUQ7kNvwHvcl8_&_nc_oc=AdkQQyFU0LHwuuDBxnnPI5PzEEZPWwdn3Ti7TDUWHsw-OUgCtvKSFOUJBHSpvLPeYHU&_nc_zt=24&_nc_ht=scontent.fvcp9-1.fna&_nc_gid=ZhCnjWgI3gzhGgwFmcRYfg&oh=00_AfRzwqtn9M9vWr5N0OWqlh83lmWLzWoOitk06lXLPHy9fA&oe=68707F61'}",,,,,,,,,,"{'avatar_story_text_format_id': None, 'fixed_aspect_ratio': None, 'background_color': 'FF111111', 'background_gradient_color': 'FF111111', 'background_gradient_direction': None, 'background_image': None, 'color': 'FFFFFFFF', 'font_weight': 'BOLD', 'font_style': 'NORMAL', 'portrait_background_image': None, 'text_align': 'CENTER', 'inspirations_custom_font_object': None, 'background': {'__typename': 'TextFormatImageBackground', 'image': None, 'color': 'FF111111', 'gradient_color': 'FF111111', 'gradient_direction': None, 'portrait_image': None, '__module_operation_CometFeedStoryFormattedBackgroundMessageRenderingStrategy_message': {'__dr': 'CometFeedStoryFormattedBackgroundMessageImageRenderer_data$normalization.graphql'}, '__module_component_CometFeedStoryFormattedBackgroundMessageRenderingStrategy_message': {'__dr': 'CometFeedStoryFormattedBackgroundMessageImageRenderer.react'}}}",3742631792702285
3742316429400488,post,https://www.facebook.com/groups/3256246341340835/posts/3742316429400488/,"بدلأ من تضييع وقتك على موقع التواصل الاجتماعي بدون فائدة 
لماذا لا تتعلم الذكاء الاصطناعي بطريقه مميزه(أجب بنعم لتضاف💯",1751724981,120,37,0,"{'angry': 0, 'care': 1, 'haha': 0, 'like': 33, 'love': 3, 'sad': 0, 'wow': 0}","{'id': 'pfbid02EPXdyVNfHvZnAGJcdniARTCeWeJrS9N3zkPz3cce5HsdqofS9CywBpbR8GZrBe7Ll', 'name': 'نجاح توفيق', 'url': 'https://www.facebook.com/people/%D9%86%D8%AC%D8%A7%D8%AD-%D8%AA%D9%88%D9%81%D9%8A%D9%82/pfbid02EPXdyVNfHvZnAGJcdniARTCeWeJrS9N3zkPz3cce5HsdqofS9CywBpbR8GZrBe7Ll/', 'profile_picture_url': 'https://scontent.fvcp9-1.fna.fbcdn.net/v/t39.30808-1/484641293_122128917302671956_7137837453925616964_n.jpg?stp=c0.99.540.540a_cp0_dst-jpg_s48x48_tt6&_nc_cat=109&ccb=1-7&_nc_sid=e99d92&_nc_ohc=9re01NnfKSUQ7kNvwGRbFSq&_nc_oc=AdloJsWR_O9cMo7jFs0IWwiQFrj5Se8Q07vZ5znpWzT9QkBHSUJVrcYFZ1etRwv3PYc&_nc_zt=24&_nc_ht=scontent.fvcp9-1.fna&_nc_gid=ZhCnjWgI3gzhGgwFmcRYfg&oh=00_AfQpU9K4HiAY0Hfm2WFG-iO3znTAV1Yrx0EJcKdUn3GskA&oe=68706770'}",,,,,,,,,,"{'avatar_story_text_format_id': None, 'fixed_aspect_ratio': None, 'background_color': 'FFC600FF', 'background_gradient_color': 'FFC600FF', 'background_gradient_direction': None, 'background_image': None, 'color': 'FFFFFFFF', 'font_weight': 'BOLD', 'font_style': 'NORMAL', 'portrait_background_image': None, 'text_align': 'CENTER', 'inspirations_custom_font_object': None, 'background': {'__typename': 'TextFormatImageBackground', 'image': None, 'color': 'FFC600FF', 'gradient_color': 'FFC600FF', 'gradient_direction': None, 'portrait_image': None, '__module_operation_CometFeedStoryFormattedBackgroundMessageRenderingStrategy_message': {'__dr': 'CometFeedStoryFormattedBackgroundMessageImageRenderer_data$normalization.graphql'}, '__module_component_CometFeedStoryFormattedBackgroundMessageRenderingStrategy_message': {'__dr': 'CometFeedStoryFormattedBackgroundMessageImageRenderer.react'}}}",3742316429400488
714739994647820,post,https://www.facebook.com/groups/8aistudio/posts/714739994647820/,موقع جميل مجاني لتحريك الصور وتوليدها 😮👇,1751739607,40,30,7,"{'angry': 0, 'care': 1, 'haha': 0, 'like': 27, 'love': 2, 'sad': 0, 'wow': 0}","{'id': '100005128382332', 'name': 'Mohammed Zaher', 'url': 'https://www.facebook.com/MZaherAi', 'profile_picture_url': 'https://scontent.fvcp9-1.fna.fbcdn.net/v/t39.30808-1/513887273_3002780283236222_2542819982384753690_n.jpg?stp=cp0_dst-jpg_s48x48_tt6&_nc_cat=107&ccb=1-7&_nc_sid=1d2534&_nc_ohc=HqD7G1pJb9YQ7kNvwHEv2Y1&_nc_oc=AdnJ1WFbKoVbTRGT7YfPtoQNs03FIdMxnUlm3Ky2zsXRcCeEEBFYjXgl92Xz1AjtaVw&_nc_zt=24&_nc_ht=scontent.fvcp9-1.fna&_nc_gid=ZhCnjWgI3gzhGgwFmcRYfg&oh=00_AfTBIdTODZYguHoITvAiGXNwzHi_VWiCDmtceD0UDsnmYA&oe=68707768'}",,,,,,,,"{'post_id': '3009294842584766', 'url': 'https://www.facebook.com/MZaherAi/videos/1738562006784971/', 'timestamp': None, 'message': '🔥لقيت لكم موقع مجااااااني لتحويل الصور الى فيديو وكمان توليد الصور سوا الشخصية او صور ابداعية والكثير من المميزات،  شوفو الفيديو والسلاسة والتحكم في الصور 👇😮\nبنزل لكم الموقع مع الطريقة 🫡 علق اي شي عشان ترجع له \n\n#ai\n#الذكاء_الإصطناعي', 'photo_url': None, 'author': {'id': '100005128382332', 'name': 'Mohammed Zaher'}, 'video_url': 'https://video.fvcp9-1.fna.fbcdn.net/o1/v/t2/f2/m69/AQP-Gtj7r5b-WnpG70W2Db9d3_L8lrCM43ei7SVX3ZEfKPbBURGPQxu-y0wpzQcA5vBW921ew_nvEP75thbcfWAV.mp4?strext=1&_nc_cat=102&_nc_oc=AdnWxs-y2Bk5IXoJUveSce3jSEMWhvc4o4plns7o0elRQOHSbFdKMuBVwET9Deojb_0&_nc_sid=5e9851&_nc_ht=video.fvcp9-1.fna.fbcdn.net&_nc_ohc=-s-n7Z5k6LcQ7kNvwFCw6B-&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5GQUNFQk9PSy4uQzMuNzIwLmRhc2hfaDI2NC1iYXNpYy1nZW4yXzcyMHAiLCJ4cHZfYXNzZXRfaWQiOjE3MzU3MDE5MDcwNDQzMTgsInZpX3VzZWNhc2VfaWQiOjEwMTIzLCJkdXJhdGlvbl9zIjo3LCJ1cmxnZW5fc291cmNlIjoid3d3In0%3D&ccb=17-1&vs=cd91633abcb7bea1&_nc_vs=HBksFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HSGR4dng0OC11UWE1RW9FQUhuczBndElrcmh6Ym1kakFBQUYVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HS2ZRekI0eHJUb1J0YjRLQUVfVHdNa1Z6OE1yYnJGcUFBQUYVAgLIARIAKAAYABsCiAd1c2Vfb2lsATEScHJvZ3Jlc3NpdmVfcmVjaXBlATEVAAAmvN_X-ZKnlQYVAigCQzMsF0Ac7peNT987GBlkYXNoX2gyNjQtYmFzaWMtZ2VuMl83MjBwEQB1AmWWngEA&_nc_zt=28&oh=00_AfTntEtxEju9Ef3H81Ll3B30qcj3D9zVE28kJtxfbx_fxg&oe=68705708', 'album_url': None}",https://www.facebook.com/MZaherAi/videos/1738562006784971/,,714739994647820
714681544653665,post,https://www.facebook.com/groups/8aistudio/posts/714681544653665/,"𝟏. 𝐎𝐩𝐞𝐧 𝐂𝐡𝐚𝐭𝐆𝐏𝐓.
𝟐. 𝐔𝐩𝐥𝐨𝐚𝐝 𝐚 𝐩𝐡𝐨𝐭𝐨 𝐨𝐟 𝐲𝐨𝐮𝐫 𝐜𝐡𝐨𝐢𝐜𝐞.
𝟑. 𝐔𝐬𝐞 𝐭𝐡𝐞 𝐢𝐬 𝐩𝐫𝐨𝐦𝐩𝐭: 👇

Ultra-realistic 4:5 vertical format fisheye selfie of me (uploaded photo) riding a bicycle or motor at high speed on a dirt road surrounded by green rice fields and trees. The person looks extremely shocked and scared, while being chased by three aggressive dogs running behind them. One of the dogs is leaping mid-air with its mouth open. The scene is full of motion blur and dust to emphasize the speed and urgency. The bike is tilting slightly, and the person's clothes are flapping in the wind. Replace the original rider's face with the uploaded image, keeping expression's exaggerated for comic effect. Ensure the lighting, skin tone, and facial angles match naturally. High camera angle. Extreme fisheye distortion. Realistic, cinematic lighting, anime characters integrated with stylized realism.

#chatgptprompts 
#ChatGPTChallenge
#aiimage
#chatgtp
#aiimagegenerator
#AI
#FantasyPhotography
#BeachInACup
#VisualIllusion
#CreativeConcept
#AIArt
#MiniatureWorld
#DigitalSurrealism
#CupOfImagination
#photomanipulation",1751733870,1,3,1,"{'angry': 0, 'care': 0, 'haha': 0, 'like': 2, 'love': 1, 'sad': 0, 'wow': 0}","{'id': '61550987054341', 'name': 'Mahmoud Al-Attar', 'url': 'https://www.facebook.com/Dznstd', 'profile_picture_url': 'https://scontent.fhph2-1.fna.fbcdn.net/v/t39.30808-1/515440861_122274778562032901_30808189280814075_n.jpg?stp=cp0_dst-jpg_s48x48_tt6&_nc_cat=107&ccb=1-7&_nc_sid=1d2534&_nc_ohc=0gCR99rgSAQQ7kNvwGY0Wyj&_nc_oc=Adl6PAGhM6iYbCfclupzspbzsBUVn3rv7c_zmy3A9DwdeMJQuhaegGA--hCebTD6R0M&_nc_zt=24&_nc_ht=scontent.fhph2-1.fna&_nc_gid=KlsojZchZBpyKYV5AFdP2w&oh=00_AfQ_QZLHQY1THqAsh_whrjD7ekGY2OkwX-hCmCj_PhGl1A&oe=6870755E'}",,,"[{'image_file_uri': 'https://scontent.fhph2-1.fna.fbcdn.net/v/t39.30808-6/514403202_122274762566032901_8192483738193768135_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=aa7b47&_nc_ohc=YGReJdLX-xYQ7kNvwF-Y6CQ&_nc_oc=AdnXZb4PwerU-N1NQflRTl-KHrgfF17sJR0RDOGrhrQu5ZQw8s0I6SWw1FnOjpfH67E&_nc_zt=23&_nc_ht=scontent.fhph2-1.fna&_nc_gid=KlsojZchZBpyKYV5AFdP2w&oh=00_AfRxdOpVhm8glmiua-fR4pLpf2Gli9nXaLQQj9d29ZXDJg&oe=6870734B', 'url': 'https://www.facebook.com/photo.php?fbid=122274762884032901&set=gm.714681551320331&type=3', 'id': '122274762884032901'}, {'image_file_uri': 'https://scontent.fhph1-1.fna.fbcdn.net/v/t39.30808-6/506088690_122274762620032901_6075865968554287299_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=aa7b47&_nc_ohc=ZLO7r-ppsEUQ7kNvwFBajuI&_nc_oc=AdnpnHZXa_E9AeK8MDgB1GrKlqgLgGN1X7FEfwNEbQZRWzMUAK0GLMyN0NEUhL9X_3I&_nc_zt=23&_nc_ht=scontent.fhph1-1.fna&_nc_gid=KlsojZchZBpyKYV5AFdP2w&oh=00_AfR-fpq50Vs7KPYO4RzFAjShrAsDCkP2z1GnVmAmXltAgw&oe=68705A6C', 'url': 'https://www.facebook.com/photo.php?fbid=122274762890032901&set=gm.714681547986998&type=3', 'id': '122274762890032901'}]",,,,,,,,714681544653665
3742577406041057,post,https://www.facebook.com/groups/3256246341340835/posts/3742577406041057/,"نصيحة لوجه الله تعلموا التسويق الإلكتروني 
بالذكاء الاصطناعي ستحقق عائد مادي رهيب  
المهتم رد""بنعم"" ليتم اضافتك
 لتتعلم مجاناً",1751747183,45,19,0,"{'angry': 0, 'care': 0, 'haha': 0, 'like': 19, 'love': 0, 'sad': 0, 'wow': 0}","{'id': 'pfbid02pFzxRquYxktth58dKqRsDNyqeauPrgQrtUyUPo3X2kTesfgsnH3bNeKzKpLxQtvvl', 'name': 'وحيد القرني', 'url': 'https://www.facebook.com/people/%D9%88%D8%AD%D9%8A%D8%AF-%D8%A7%D9%84%D9%82%D8%B1%D9%86%D9%8A/pfbid02pFzxRquYxktth58dKqRsDNyqeauPrgQrtUyUPo3X2kTesfgsnH3bNeKzKpLxQtvvl/', 'profile_picture_url': 'https://scontent.fhph2-1.fna.fbcdn.net/v/t39.30808-1/506066552_122101480604906894_4146865682677181287_n.jpg?stp=c0.132.720.720a_cp0_dst-jpg_s48x48_tt6&_nc_cat=109&ccb=1-7&_nc_sid=e99d92&_nc_ohc=NJvW2d929kkQ7kNvwF_dUpm&_nc_oc=Adnc7PCV2Rr3jwj5lIBalpxP1UpX3k59_yxoYJCPbwMA3QdteVEPrAZ6uXW6NhN5S50&_nc_zt=24&_nc_ht=scontent.fhph2-1.fna&_nc_gid=KlsojZchZBpyKYV5AFdP2w&oh=00_AfT3alkFu01rBzfTwQEpzFpOXC2IppMqUlLEZrT-OLovXw&oe=68705508'}",,,,,,,,,,"{'avatar_story_text_format_id': None, 'fixed_aspect_ratio': None, 'should_add_text_shadow_and_stroke': False, 'is_text_always_vertical_centered': False, 'background_color': 'FF111111', 'background_gradient_color': 'FF111111', 'background_gradient_direction': None, 'background_image': None, 'color': 'FFFFFFFF', 'font_weight': 'BOLD', 'font_style': 'NORMAL', 'portrait_background_image': None, 'text_align': 'CENTER', 'inspirations_custom_font_object': None, 'background': {'__typename': 'TextFormatImageBackground', 'image': None, 'color': 'FF111111', 'gradient_color': 'FF111111', 'gradient_direction': None, 'portrait_image': None, '__module_operation_CometFeedStoryFormattedBackgroundMessageRenderingStrategy_message': {'__dr': 'CometFeedStoryFormattedBackgroundMessageImageRenderer_data$normalization.graphql'}, '__module_component_CometFeedStoryFormattedBackgroundMessageRenderingStrategy_message': {'__dr': 'CometFeedStoryFormattedBackgroundMessageImageRenderer.react'}}}",3742577406041057
714606751327811,post,https://www.facebook.com/groups/8aistudio/posts/714606751327811/,"للفائدة / برومبت اليوم لعرض المنتجات
البرومبت تحت كل صورة 🫡👇",1751727006,0,7,11,"{'angry': 0, 'care': 0, 'haha': 0, 'like': 6, 'love': 1, 'sad': 0, 'wow': 0}","{'id': '100005128382332', 'name': 'Mohammed Zaher', 'url': 'https://www.facebook.com/MZaherAi', 'profile_picture_url': 'https://scontent.fhan3-2.fna.fbcdn.net/v/t39.30808-1/513887273_3002780283236222_2542819982384753690_n.jpg?stp=cp0_dst-jpg_s48x48_tt6&_nc_cat=107&ccb=1-7&_nc_sid=1d2534&_nc_ohc=HqD7G1pJb9YQ7kNvwFhB0Hm&_nc_oc=AdlIo6m3yc9hDv7YnqvbpXDbN2kQIt_qV9LLzHY49T02MvrfdRiMx4lPfI7U6Q8cY0s&_nc_zt=24&_nc_ht=scontent.fhan3-2.fna&_nc_gid=o4gVKbI9TzbTScqHqRrMMQ&oh=00_AfQ0ITe5MyuCfcENs6jCSAL_hPPZt35BEeSEL3GFJE11FQ&oe=68707768'}",,,,,,,,"{'post_id': '3009125869268330', 'url': 'https://www.facebook.com/MZaherAi/posts/pfbid02qfMvcqBebcptpoNE3q83i5h8kXCcvarBoUPhuDYXspsudgDMEHqy8n4RGKJ9taisl', 'timestamp': None, 'message': 'prompt اليوم طريقة عرض بالمنتجات بالذكاء الإصطناعي\nالبرومت تحت كل صورة 👇🫡\n\n#ai\n#الذكاء_الإصطناعي', 'photo_url': None, 'author': {'id': '100005128382332', 'name': 'Mohammed Zaher'}, 'video_url': None, 'album_url': None}",https://www.facebook.com/MZaherAi/posts/pfbid02qfMvcqBebcptpoNE3q83i5h8kXCcvarBoUPhuDYXspsudgDMEHqy8n4RGKJ9taisl,,714606751327811
3742661252699339,post,https://www.facebook.com/groups/3256246341340835/posts/3742661252699339/,ممكن حد يحذف الراجل المع البنوته وتكون ف مكان جميل,1751755888,19,4,0,"{'angry': 0, 'care': 0, 'haha': 0, 'like': 4, 'love': 0, 'sad': 0, 'wow': 0}","{'id': '100000853634483', 'name': 'Nageh Pgheda', 'url': 'https://www.facebook.com/nageh.pgheda', 'profile_picture_url': 'https://scontent.fthd2-1.fna.fbcdn.net/v/t39.30808-1/511273242_23942843071994146_38992688956307059_n.jpg?stp=cp0_dst-jpg_s48x48_tt6&_nc_cat=107&ccb=1-7&_nc_sid=1d2534&_nc_ohc=Ey1w2gwTaHUQ7kNvwE0A4cf&_nc_oc=AdmICMDiMj4ASYgXCOCOIORrbNIhNIPM3JknnNVV56QVJYaJYPkqqiON6vxBUbkzNRY&_nc_zt=24&_nc_ht=scontent.fthd2-1.fna&_nc_gid=Keyyxvz1SzS-jRqz6U0_Rw&oh=00_AfTZWRfhCmXrke4eixhM5x9RkwpAo8OAVsdtVPVgYq4tdw&oe=68705808'}","{'url': 'https://scontent.fthd2-4.fna.fbcdn.net/v/t39.30808-6/514689399_24050285811249871_7899583383668440954_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=aa7b47&_nc_ohc=mKsTR5rEJtEQ7kNvwFBL7di&_nc_oc=AdnQJzl9boKihn3TEaiyr3ig9XdLNgwpXdS_TnL-oqhb89BAwjFNAZO-xj5HNnTObJ4&_nc_zt=23&_nc_ht=scontent.fthd2-4.fna&_nc_gid=Keyyxvz1SzS-jRqz6U0_Rw&oh=00_AfQd2Drgtdw9_8KHWu7Bt_IHusz2a_kInOkZGqHejP31ew&oe=68708224', 'id': '24050285781249874'}",,,,,,,,,,3742661252699339
1124751339259929,post,https://www.facebook.com/groups/ai.fordesign/posts/1124751339259929/,"🚨 لو قلت لك إن الذكاء الاصطناعي بقى في جيبك.. هتصدق؟! 😱🤯

دلوقتي ال AI بتاع مايكروسوفت بقى متاح على واتساب! 🤖💬 يعني مش محتاج تفتح اي تطبيق، لا دا تقدر تتواصل مع الذكاء الاصطناعي على طول وتاخد إجابات فورية، أفكار جديدة، أو حتى نصائح في حياتك اليومية.. وكل ده من تليفونك! وعلى واتساب 😂 📱

🔥 التكنولوجيا دي بقت في إيدك.. هتستغلها إزاي؟ 🔥

قول لي ايه أول سؤال هتسأله؟

#مايكروسوفت #واتساب #ذكاء_اصطناعي #AI #تكنولوجيا #المستقبل",1729443088,70,142,20,"{'angry': 0, 'care': 0, 'haha': 1, 'like': 127, 'love': 13, 'sad': 1, 'wow': 0}","{'id': '100044524535671', 'name': 'Omar Alshal - عمر الشال', 'url': 'https://www.facebook.com/OmarAlshalPage', 'profile_picture_url': 'https://scontent.fthd2-4.fna.fbcdn.net/v/t39.30808-1/395129681_899565724870904_7182327464317769353_n.jpg?stp=cp0_dst-jpg_s48x48_tt6&_nc_cat=101&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=7TxNSe0Ry5gQ7kNvwGGiF2N&_nc_oc=AdnjbvKeqjcBdC6wktnz-mvqZanTmcvVOz1kg5Twsnan7I6IFhGuD7QQK5m9K7TmF3Q&_nc_zt=24&_nc_ht=scontent.fthd2-4.fna&_nc_gid=Keyyxvz1SzS-jRqz6U0_Rw&oh=00_AfQ9zSdb8DI0WWqtxVq390o_mBhSOfrqEk1EHsGoMk_GGA&oe=687065AA'}",,,"[{'image_file_uri': 'https://scontent.fthd2-4.fna.fbcdn.net/v/t39.30808-6/480592366_1201638344663639_7381143278020739695_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=aa7b47&_nc_ohc=yhdtItOvx10Q7kNvwF8-Z0s&_nc_oc=Adk290DCQmA_VzyB92qW_8LCCJ9vScI_oTsF97Kcg66BtXOEaGDmyt80awQKxNqwzcQ&_nc_zt=23&_nc_ht=scontent.fthd2-4.fna&_nc_gid=Keyyxvz1SzS-jRqz6U0_Rw&oh=00_AfTKsbzx3fxLWVbFW5gD-41SM4uKKGSAmaZgX_4qn_lMWw&oe=68708470', 'url': None, 'id': '1114853823342092'}, {'image_file_uri': 'https://scontent.fthd2-1.fna.fbcdn.net/v/t39.30808-6/480988021_1201638437996963_314557016448532839_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=aa7b47&_nc_ohc=p4xwRXnWB7UQ7kNvwF-oELI&_nc_oc=AdllKGL_at2zX_hhxsc-h6doGSgROPuQJCQCnE1Oj0VCL6dyJwE2uNWvaI3p7_S2XAU&_nc_zt=23&_nc_ht=scontent.fthd2-1.fna&_nc_gid=Keyyxvz1SzS-jRqz6U0_Rw&oh=00_AfSKl6Wg31PMjERcscPV98S-29E-k1zn0wRBo1IHXRheyg&oe=68708220', 'url': None, 'id': '1114853826675425'}]",,,,,,,,1124751339259929
25332106803044728,post,https://www.facebook.com/groups/artificialintelligence2/posts/25332106803044728/,"تبدأ محاضرات  الذكاء الاصطناعي  
في الساعه 7 مساءا 
اول محاضرة مجانا 
بالإضافة إلى ملفات PDF المجانية
الرد بنعم لتضاف",1751744656,34,14,0,"{'angry': 0, 'care': 0, 'haha': 0, 'like': 14, 'love': 0, 'sad': 0, 'wow': 0}","{'id': '1154497466483749', 'name': 'Anonymous participant', 'url': None, 'profile_picture_url': 'https://scontent.fhan3-4.fna.fbcdn.net/v/t39.35477-6/480607259_9679985338724762_1752935498324149276_n.jpg?stp=cp0_dst-jpg_s50x50_tt6&_nc_cat=104&ccb=1-7&_nc_sid=ee2d7f&_nc_ohc=mSTVxjWec4kQ7kNvwHRjih-&_nc_oc=Adno395uYLlUwDoZR0HSRqBVCLdEfsbbilDsr09VWCtPhFe9rVL1maGT9MDUkx6tK54&_nc_zt=14&_nc_ht=scontent.fhan3-4.fna&_nc_gid=2LrXcnEkfy06bvQ5i5g9hg&oh=00_AfT_P6ERJHIjO8V6F7ooszJyYbNFAUz1loo3_vHeYCaMqg&oe=6870775F'}",,,,,,,,,,,25332106803044728
3742634982701966,post,https://www.facebook.com/groups/3256246341340835/posts/3742634982701966/,,1751752982,10,46,2,"{'angry': 0, 'care': 0, 'haha': 3, 'like': 40, 'love': 3, 'sad': 0, 'wow': 0}","{'id': '100014208048883', 'name': 'Mostafa Ben Houssain Alaoui', 'url': 'https://www.facebook.com/mostafaalaoui24', 'profile_picture_url': 'https://scontent.fhan4-4.fna.fbcdn.net/v/t39.30808-1/512737905_2191771821306398_1554471774414168965_n.jpg?stp=cp0_dst-jpg_s48x48_tt6&_nc_cat=110&ccb=1-7&_nc_sid=1d2534&_nc_ohc=OX1alT2-fSkQ7kNvwHR7eNi&_nc_oc=AdlZRL5_kC7QQ1yO5pzNaMwxqaam2cpeBFhWMSIoUHV9tj-18px4LwvkB8AMVw1PZ9A&_nc_zt=24&_nc_ht=scontent.fhan4-4.fna&_nc_gid=2LrXcnEkfy06bvQ5i5g9hg&oh=00_AfQWdL_wWRNUu_IV3KoTsAP-yFCoQoOeXIXfknfU2ZD4uA&oe=6870792B'}",,https://www.facebook.com/mostafaalaoui24/videos/1872900083493859/?idorvanity=3256246341340835,,"{'video_sd_file': 'https://video.fhan4-4.fna.fbcdn.net/o1/v/t2/f2/m69/AQPg3wALdxVSmrCpDROeBs_RfGYS1EvkHpZvniLhuCPiN38GvJsNOfYknifKJX2_h34nA9uVMaBIyuJxIOLrdAcI.mp4?strext=1&_nc_cat=110&_nc_oc=AdlNCOulpFuqBf6qMR9KHQaC9mdlYbnOlj7Y6Ve2s-tbLm9OpM5UjQBofdpycx0ws8g&_nc_sid=8bf8fe&_nc_ht=video.fhan4-4.fna.fbcdn.net&_nc_ohc=-H2EnzIPwz0Q7kNvwHVby7p&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5GQUNFQk9PSy4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6NTYxODQ4NDgwMTk0MDY3LCJ2aV91c2VjYXNlX2lkIjoxMDEyMSwiZHVyYXRpb25fcyI6NjEsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&_nc_zt=28&oh=00_AfRWEBBK8n4AYkJkVBkNqhqfTQ5bTm0JkzQIhiP2nIueKQ&oe=68705D04', 'video_hd_file': 'https://video.fhan3-3.fna.fbcdn.net/o1/v/t2/f2/m69/AQNTB2G7HN17sEZzuGK1PcJFFBo4i8XLy1j_7VFoX7Jzvp2VsiWCoyQGKOTOHlyP5J4JeXs-2KABKpQE0I8cBDYa.mp4?strext=1&_nc_cat=108&_nc_oc=Adm8QFWCmBE1-1EXjnQJVKaJa1UeSWhPZrnuLLfRn1D8OpU0GYxldwyXGIT-5QQd3nY&_nc_sid=5e9851&_nc_ht=video.fhan3-3.fna.fbcdn.net&_nc_ohc=LnohOUolgjoQ7kNvwGwAv5p&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5GQUNFQk9PSy4uQzMuNTc2LmRhc2hfaDI2NC1iYXNpYy1nZW4yXzcyMHAiLCJ4cHZfYXNzZXRfaWQiOjU2MTg0ODQ4MDE5NDA2NywidmlfdXNlY2FzZV9pZCI6MTAxMjEsImR1cmF0aW9uX3MiOjYxLCJ1cmxnZW5fc291cmNlIjoid3d3In0%3D&ccb=17-1&vs=224875917880d813&_nc_vs=HBksFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HRkJWd2g0R19NZjZFVUVHQUNFY0FOdWRwR2h5Ym1kakFBQUYVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HSUZFemg3c1pfWWNnWllDQUJjampHTGlpSmd6YnJGcUFBQUYVAgLIARIAKAAYABsCiAd1c2Vfb2lsATEScHJvZ3Jlc3NpdmVfcmVjaXBlATEVAAAmpviisfG__wEVAigCQzMsF0BOndLxqfvnGBlkYXNoX2gyNjQtYmFzaWMtZ2VuMl83MjBwEQB1AmWSngEA&_nc_zt=28&oh=00_AfQZlPF0v0xQS7fYATxCWsKJFGMurx6OYRYdldB9WJPaGw&oe=6870599A'}",https://scontent.fhan4-2.fna.fbcdn.net/v/t15.5256-10/515176488_1141410961377664_1725296967624967472_n.jpg?stp=dst-jpg_s960x960_tt6&_nc_cat=111&ccb=1-7&_nc_sid=117846&_nc_ohc=bwHqcia8icoQ7kNvwE-kthE&_nc_oc=AdlGOEt0XEY0fbyz8-FZmfCp-5RtM5tDSnFnW4jahpszsb0L-LcLAOdGsgfSXyQ71ZI&_nc_zt=23&_nc_ht=scontent.fhan4-2.fna&_nc_gid=2LrXcnEkfy06bvQ5i5g9hg&oh=00_AfQm7QKbkg3yKlvp4FCn4JPDKYImPIgJCzYUFx9ESLOaHA&oe=68704DF4,,,,,,3742634982701966
