Post ID,Type,URL,Message,Timestamp,Comments Count,Reactions Count,Reshare Count,Author Name,Author URL
1270626974431568,post,https://www.facebook.com/alahly/posts/pfbid02rX3QndsnhJDNaSjb18rbN7mMdYV1AKcGzHhTNdFmYgjQSc5SkGiDcHPrMQUdLrLql,📸 قنصل مصر في نيويورك يدعم بعثة الأهلي في المونديال 🇪🇬♥️,1750205392,130,9140,43,Al Ahly SC,https://www.facebook.com/alahly
122166697322528297,post,https://www.facebook.com/alxstoore/posts/pfbid02KGbEKveydtr31Ny3hfFf78Nue686wfs53EHeqmwTLwFKhve3ryUJQGPqwcKPU72gl,"توقع و اكسب مع 𝗔𝗟𝗫 𝗦𝘁𝗼𝗿𝗲 ✨
توقع نتيجه مباراة الأهلي و بالميراس فى كأس العالم للأندية و أكسب ايربودز هدية 🎧 🎁
- شرط صاحب التوقع الصحيح فى كومنت واحد( لا يوجد له كومنت اخر بتوقع اخر )
* ينتهي التصويت الاربعاء 18 يونيو 11.30 مساءً *

#alxstore #alahly #fifaclubworldcup2025 #PalmeirasFC  #iPhone #Airpods",1750143606,1445,695,194,ALX Store,https://www.facebook.com/alxstoore
122169240362555539,post,https://www.facebook.com/permalink.php?story_fbid=pfbid0HpwH8fng6eC1B1EbFzfqojgTVdUUZo3EK4pXW7157LMeJoaEAhjCZcRqos61pPMFl&id=61566666180855,"في لحظة بنستناها من زمان، مصر هتكون حاضرة من جديد على الساحة العالمية، وده مش مجرد ماتش، ده حدث وطني بيجمعنا كلنا كمصريين.

غدا الاربعاء 𝐉𝐮𝐧𝐞 𝟏𝟖 ، قبل ماتش النادي الأهلي أمام بالميراس، عايزين نعمل أكبر تجمع مصري في تايمز سكوير. ده مش تجمع كروي بس، ده تجمع وطني بيمثلنا كلنا – مشجعين، مغتربين، عائلات، طلبة، أطفال، كبار، ستات ورجالة… أي حد قلبه على مصر.

عايزين نرفع اسم الأهلي وسط ميدان العالم، ونقول لكل الناس إن مصر دايمًا حاضرة، بتراثها، بتاريخها، وبشعبها اللي عمره ما بيتأخر.

إحنا كلنا مصريين، وكلنا هنشجع مصر، لأن الأهلي هو بيمثل مصر، والعالم كله شايف. دي فرصتنا نكون في الصورة، نوصّل رسالة إن الجالية المصرية دايمًا سند وظهر لبعض، ودايمًا صوتها عالي لما بيكون في نداء للوطن.

📍 المكان: تايمز سكوير – نيويورك  𝐓𝐢𝐦𝐞𝐬 𝐒𝐪𝐮𝐚𝐫𝐞  𝐍𝐘
🕓 الساعة: [𝟕 𝐩𝐦]
اليوم:[𝐉𝐮𝐧𝐞 𝟏𝟖]

Al Ahly SC

Al Ahly TV قناة الأهلي

#رابطة_مشجعي_الأهلي_المصري_بأمريكا",1750208488,2,38,2,رابطة مشجعي  الأهلي المصري بأمريكا  𝐀𝐥 𝐀𝐡𝐥𝐲 𝐅𝐚𝐧𝐬 𝐢𝐧 𝐀𝐦𝐞𝐫𝐢𝐜𝐚,https://www.facebook.com/people/%D8%B1%D8%A7%D8%A8%D8%B7%D8%A9-%D9%85%D8%B4%D8%AC%D8%B9%D9%8A-%D8%A7%D9%84%D8%A3%D9%87%D9%84%D9%8A-%D8%A7%D9%84%D9%85%D8%B5%D8%B1%D9%8A-%D8%A8%D8%A3%D9%85%D8%B1%D9%8A%D9%83%D8%A7-%F0%9D%90%80%F0%9D%90%A5-%F0%9D%90%80%F0%9D%90%A1%F0%9D%90%A5%F0%9D%90%B2-%F0%9D%90%85%F0%9D%90%9A%F0%9D%90%A7%F0%9D%90%AC-%F0%9D%90%A2%F0%9D%90%A7-%F0%9D%90%80%F0%9D%90%A6%F0%9D%90%9E%F0%9D%90%AB%F0%9D%90%A2%F0%9D%90%9C%F0%9D%90%9A/61566666180855/
122187804950048527,post,https://www.facebook.com/permalink.php?story_fbid=pfbid02zfhihK6AzxHbKqEuCT8zM92Qtr7hwhsSGdbhGccxPjktDUXHcU3e4aZzt5SypUQwl&id=61551455816124,"💰 Fermín López ha recibido una oferta muy importante del Al-Ahly.

En el Barça no verían con malos ojos su salida, pero la decisión final dependerá del propio jugador.

— @sport",1750208456,9,44,1,Pedri con olor a Iniesta Posting,https://www.facebook.com/people/Pedri-con-olor-a-Iniesta-Posting/61551455816124/
1030902149163083,post,https://www.facebook.com/itelEgypt/posts/pfbid0taC22VusJRNS7nXxxzQ6WznFM5JrAqFTjbnTUJpfms9KmKJmCShjo4tguKfKXqUDl,"ماتش الأساطير بين الأهلي و Palmeiras يوم الخميس! 🔥⚽
مين هيتوقع صح ويكسب معانا سماعة او ساعة هدية؟ 
مستنيين توقعك في الكومنتات 👇 

#alahly #itel #itelegypt #palmeiras #الاهلي #سحب #مفاجأة #هدية",1750180553,432,267,157,itel,https://www.facebook.com/itelEgypt
1135119681977462,post,https://www.facebook.com/thefinal2/videos/1274811097339317/,"تشكيل الاهلي امام بالميراس ! نقاط قوة وضعف بالميراس بالفيديو! قرار تاريخي ضد تريزجيه ! التآهل رسمياً
#الاهلي  #بالميراس   #كأس_العالم_للاندية  #ميسي  #زيزو  #تريزيجيه   #Alahly  #Alahlytv",1750209176,3,110,2,النهائي - The Final,https://www.facebook.com/thefinal2
1167060742131579,post,https://www.facebook.com/MoaElshamy/posts/pfbid02RoYrfBaw5XnTnBBPpStXcS1fPE1gryJqvh7x3VwnWKfNRC4dWMWKozGyNLYNVB7Hl,"هيما زعلان من الوزير ومن تصريحاته (اللي ذكرت الناس بأشياء مكانش يحب تتذكرها حاليا على ما يبدو )  
طيب أنا مش شايف الدكتور أشرف  قال حاجة غلط .. ( إعلامكم اتهمه ) و هو اتكلم عن تاريخ وحقائق وحاجة حدثت بالفعل و كلنا  عشناها في مرحلة "" الرئيس الشرفي"" .. ليس عيبا أن يُذكر الناس بدوره في حماية الإدارة في وقت كان يجب الاطاحة بها .. بعد أزمة كبيرة حدثت ( ولا نسينا؟) !!  
- سبحان الله .. الوزير مش وقته يتكلم ويدافع عن نفسه .. لكن وقته نتهمه بتهمة ""كراهية الأهلي"" و نسيء ليه … في حملة موجهة معلوم تماما مين وراها)…!!",1750193911,258,1436,82,معتز الشامي - Moataz Elshamy,https://www.facebook.com/MoaElshamy
1143303217838580,post,https://www.facebook.com/yallaahly114/posts/pfbid0oF8Ggx1g1sqrHUxDMJXickUQvJoSFUJn9HyjAWZBZ1FswEXKG6rT6JiQU5G5PxsGl,"🔴 الصحفي خالد الاتربي 

حسين الشحات واخد قرار إنه ماشي بعد المونديال وده يكون مسك الختام ليه مع الأهلي . مكلف بعض الوكلاء ومكلف شقيقه بالبحث له عن عروض في الإمارات والخليج والأمر ده من قبل المونديال",1750195175,16,137,10,يلا أهلي - Yalla Ahly,https://www.facebook.com/yallaahly114
704995505474982,post,https://www.facebook.com/MBCMasr/videos/1776020269708975/,"محمد شريف: الأهلي ممكن جدا يكسب بورتو.. وإكرامي يرد: يا جماعة خلينا عقلانيين مفيش الكلام ده

برنامج #اللعيب_في_المونديال  الثلاثاء - الخميس12:30 ظهراً بتوقيت القاهرة على  #MBCMASR  
http://onshahid.net/6189MOb5c",1750199101,13,263,7,MBC مصر,https://www.facebook.com/MBCMasr
