post_id,type,url,message,timestamp,comments_count,reactions_count,reshare_count,reactions,author,image,video,album_preview,video_files,video_thumbnail,external_url,attached_event,attached_post,attached_post_url,text_format_metadata
1181145393798096,post,https://www.facebook.com/codealegria/posts/1181145393798096,"⚠️⚠️اكواد فودافون #مصر الاساسية :⬇️⬇️
الاستعلام عن الرقم  #878*
الاستعلام عن الرصيد #1*868*
اشتراك باقات الانترنت #2000*
اشتراك ضعف الباقة #2*
اشتراك كول تون 5555 او # كود الأغنية *055*
الغاء كول تون الاتصال ب5555 او 000000#*055*
الغاء الرسائل الاخبارية ابعت كلمة معلومات على 9999
رقم انظمة فودافون 880
عروض فودافون 800
خدمة عملاء فودافون 888
الحصول علي ركز الـ PUK اتصل #رقم الموبايل*888* من اى خط فودافون اخر
تحويل الرصيد #المبلغ*الرقم*2*868*  او 868
سلفنى شكرا #3*
كلمنى شكرا #رقم التلفون*505*
ادفعلى شكرا #رقم الهاتف
الاكواد المختصرة فودافون #888*
التاريخ والساعة #100*
اخر مكالمة سابقة #150*
نقاط فودافون وان #818*
خدمة لايف #4*888*
لتشغيل خدمة التجوال #5*888*
لمعرفة متبقى كام دقيقة او فليكس بعد كل مكالمة #9001* بقرش لكل مره
لمعرفة متبقى كام دقيقة او فليكس بعد كل مكالمة #9009* ب2 جنية فى الشهر
الكود الموحد للتحكم فى كافة الخدمات على خطك #010*
الغاء والتحكم فى خدمات الرسايل الترفيهية والاخبارية #010*010*
#اكواد #فودافون",1744061401,4,240,107,"{'angry': 0, 'care': 1, 'haha': 1, 'like': 234, 'love': 4, 'sad': 0, 'wow': 0}","{'id': '100057079405145', 'name': 'مدونة الثقافة القانونية', 'url': 'https://www.facebook.com/codealegria', 'profile_picture_url': 'https://scontent.fsgn8-4.fna.fbcdn.net/v/t39.30808-1/396714409_836163188296320_1082153245947916371_n.jpg?stp=cp0_dst-jpg_s80x80_tt6&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=2CJjuTxQn94Q7kNvwHOMzwD&_nc_oc=Adkp2gwgS5p5sJF3qGx0vaXdaw9mIHnSjC13du7aCq_HYRlVgjDE2uSN3NwyhrmdCA8&_nc_zt=24&_nc_ht=scontent.fsgn8-4.fna&_nc_gid=Jmk2FcYdkX0OVCER2z-grw&oh=00_AfNmcf-y8FbczkfRGYW0HTBTaePKykuHqKr1KzY7GXF7jQ&oe=685DFAB0'}",,,,,,,,,,
685345977410129,post,https://www.facebook.com/permalink.php?story_fbid=685345977410129&id=100078041975718,"اكواد هامه خاصه بشركه فودافون_مصر
اهم الأكواد
الاستعلام عن الرقم #878*
الاستعلام عن الرصيد #1*868*
اشتراك باقات الانترنت #2000*
اشتراك ضعف الباقة #2*
اشتراك كول تون 5555 او # كود الأغنية *055*
الغاء كول تون الاتصال ب5555 او 000000#*055*
رقم انظمة فودافون 880
عروض فودافون 800
خدمة عملاء فودافون 888
الحصول علي رمز الـ
تحويل الرصيد #المبلغ*الرقم*2*868*
او 868
سلفنى شكرا #3*
كلمنى شكرا #رقم التلفون*505*
ادفعلى شكرا #رقم الهاتف*
الاكواد المختصرة فودافون #888*
التاريخ والساعة #100*
اخر مكالمة سابقة #150*
لتشغيل خدمة التجوال #5*888*
لمعرفة متبقى كام دقيقة او فليكس بعد كل مكالمة #9001* بقرش لكل مره
لمعرفة متبقى كام دقيقة او فليكس بعد كل مكالمة #9009* ب2 جنية فى الشهر
الغاء والتحكم فى خدمات الرسايل الترفيهية والاخبارية #010*010*
 81#* لشرح الرصيد
*2000*#0 إلغاء باقه الانترنت
*#155 معرفة المديونيه 
*9*#13 الاستعلام عن رصيد الكاش 
*9*#12 تغيير الرقم السري الخاص بالمحفظه 
*9*7*الرقم*المبلغ # تحويل كاش 
7001 خدمة عملاء #فودافون كاش",1745646671,34,390,239,"{'angry': 1, 'care': 2, 'haha': 0, 'like': 377, 'love': 10, 'sad': 0, 'wow': 0}","{'id': '100078041975718', 'name': 'بوابة مصر للتحول الرقمي', 'url': 'https://www.facebook.com/people/%D8%A8%D9%88%D8%A7%D8%A8%D8%A9-%D9%85%D8%B5%D8%B1-%D9%84%D9%84%D8%AA%D8%AD%D9%88%D9%84-%D8%A7%D9%84%D8%B1%D9%82%D9%85%D9%8A/100078041975718/', 'profile_picture_url': 'https://scontent.fsgn8-4.fna.fbcdn.net/v/t39.30808-1/462705617_544663098145085_8265277611279443730_n.jpg?stp=c0.0.572.574a_cp0_dst-jpg_s80x80_tt6&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=PCxAGBN2OOEQ7kNvwH2ogrO&_nc_oc=AdmQxgaEJo1mICZ6TpYTnFFGTPOjkscxqGPFHplPilwNR3gfHcepCLN2QQ6plTbFSI0&_nc_zt=24&_nc_ht=scontent.fsgn8-4.fna&_nc_gid=Jmk2FcYdkX0OVCER2z-grw&oh=00_AfPBNG-6TVwrqcY_7FXZb06VTTx0WVghY391rUIKLf6oCQ&oe=685DFEE6'}","{'uri': 'https://scontent.fsgn8-4.fna.fbcdn.net/v/t39.30808-6/492787426_685345930743467_5463171534465151974_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=127cfc&_nc_ohc=UwgFNgc_lZ0Q7kNvwHJHOuf&_nc_oc=AdkRZMrRjegAg-3wtsL7WkngvRpi3tOM1yD6h8xJhrjiz2beAcv2ob6J8Up4Sr2Fuko&_nc_zt=23&_nc_ht=scontent.fsgn8-4.fna&_nc_gid=Jmk2FcYdkX0OVCER2z-grw&oh=00_AfN253cvvwEJGiSrlBW0OQbjIJuzMrsg_AmBV54U2o1o8w&oe=685E183B', 'height': 582, 'width': 466}",,,,,,,,,
1246608573767084,post,https://www.facebook.com/groups/1186292313132044/posts/1246608573767084/,"باقات فودافون ريد وفليكس والعيله 

18 جيجا + 1400 دقيقه ب155

25 جيجا + 1500 دقيقة ب200

30 جيجا + 1700 دقيقه ب235

35 جيجا + 1700 دقيقه ب260

40 جيجا+ 1700 دقيقه ب285

45 جيجا + 1800 دقيقه ب310

50 جيجا + 1800 دقيقه ب330

60 جيجا+ 2000 دقيقه + 30 دقيقه مكالمات دوليه ب400",1748168593,44,10,0,"{'angry': 0, 'care': 0, 'haha': 2, 'like': 8, 'love': 0, 'sad': 0, 'wow': 0}","{'id': 'pfbid07phvLYMnYkDeSw7GemC4BQQ6aM4rtQ99165EuZpvXYmEbRX6oMHwZx61him91swol', 'name': 'Sensory Blessings', 'url': None, 'profile_picture_url': 'https://scontent.fsgn8-4.fna.fbcdn.net/v/t39.30808-1/510994313_122139762548765821_5709117163956818319_n.jpg?stp=cp0_dst-jpg_s48x48_tt6&_nc_cat=108&ccb=1-7&_nc_sid=e99d92&_nc_ohc=ee_byjfx2s0Q7kNvwH-pcPT&_nc_oc=AdligqiQOT8UKzzeBO-YDHZO_1AM6iJYzR5zf98PFTdOlP4UqrPIBeeD2OSv5UwQZlY&_nc_zt=24&_nc_ht=scontent.fsgn8-4.fna&_nc_gid=Jmk2FcYdkX0OVCER2z-grw&oh=00_AfNhlxVOjuzZMTxriJOCaHhOkGtuL-OU8FWjAGR3wYf-qg&oe=685E1215'}",,,,,,,,,,
2972799222890223,post,https://www.facebook.com/groups/294810767355762/posts/2972799222890223/,"السلام عليكم 
خط فودافون بكام لان كل فرع بسعر",1750258836,41,19,0,"{'angry': 0, 'care': 0, 'haha': 0, 'like': 19, 'love': 0, 'sad': 0, 'wow': 0}","{'id': 'pfbid04Nxid6b6Q6WpNtjsQGCdwuo562bchPYEhiCUSmyxfNNhE3om4jHy4z9hbQjjvs84l', 'name': 'Aya Marzouk', 'url': 'https://www.facebook.com/Aya.marzouk27', 'profile_picture_url': 'https://scontent.fhan5-6.fna.fbcdn.net/v/t39.30808-1/476305457_1664414344145205_3064139710034874631_n.jpg?stp=cp0_dst-jpg_s48x48_tt6&_nc_cat=105&ccb=1-7&_nc_sid=e99d92&_nc_ohc=ETLTWqLcN14Q7kNvwHKOL1A&_nc_oc=AdnMmeNMPMroAPIJdIseBVdfBcEMrpq1_fA8WCyM_PoU4nVgJDFAdUdOZFGF-VSgpA8&_nc_zt=24&_nc_ht=scontent.fhan5-6.fna&_nc_gid=1BWdpGeSU_SjggNWkswAUg&oh=00_AfN5qVLVyEDcbeuV3tc0zgW2R9fBYD0a1zkaC8_z1zk9_w&oe=685DFE5A'}",,,,,,,,,,
1653896108612838,post,https://www.facebook.com/groups/1369159683753150/posts/1653896108612838/,"*فودافون Flex 🪄💥*
*👈🏻13000فليكس*
*👈🏻5000ميجا فيس بوك*
*👈🏻200ميجا وتساب*

*السعر 210 ج✔️💸*

🔴🟡 *تفعيل وقتي للساعه 12 فقط*

*الشروط*
*1:ميكونش عليك اي مديونيه او استلاف ولو عليك سدد الفلوس اللي عليك الاول وابعتلي*

متاح 3000 فليكس ب👈90بدل 135
وادمن وسيط 🫡",1749924964,76,6,0,"{'angry': 0, 'care': 1, 'haha': 0, 'like': 3, 'love': 2, 'sad': 0, 'wow': 0}","{'id': '100077888166450', 'name': 'Mohamed Ayman', 'url': 'https://www.facebook.com/M0000111111', 'profile_picture_url': 'https://scontent.fhan5-11.fna.fbcdn.net/v/t39.30808-1/488009446_681643017775298_4255965024468046220_n.jpg?stp=cp0_dst-jpg_s48x48_tt6&_nc_cat=103&ccb=1-7&_nc_sid=1d2534&_nc_ohc=qVPcaEGTLkIQ7kNvwFrZdMe&_nc_oc=Adn-5_pErehlqA_xV3R5T_KSGCpkgOEybs7EwMpaIbYcoYJIcYQLhVPk6BBQ-bxdABI&_nc_zt=24&_nc_ht=scontent.fhan5-11.fna&_nc_gid=1BWdpGeSU_SjggNWkswAUg&oh=00_AfPOmitkbx8KcpGcM8MCaufvoTev2AZbHYICc4RfuCHwEQ&oe=685E0606'}",https://scontent.fhan5-8.fna.fbcdn.net/v/t39.30808-6/505846202_734807815792151_7668178357256756680_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=aa7b47&_nc_ohc=Z09mKg319SgQ7kNvwEdvVGv&_nc_oc=Adl71g8m4SPnV2KUKWD9FdnXJ_yfi1jlpgSEMNBYw_c6X3bvDSYtguw5TFaR9tKLP9g&_nc_zt=23&_nc_ht=scontent.fhan5-8.fna&_nc_gid=1BWdpGeSU_SjggNWkswAUg&oh=00_AfObMtPIh9hseF5Dz6u0odjZr08FFPm8dlrlardwODt0fw&oe=685DFC17,,,,,,,,,
